observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
tech24_chn_rd,CHN,2024,RD_EXPENDITURE,2.4,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"R&D expenditure as percentage of GDP; China rapidly increasing R&D investment"
tech24_usa_internet,USA,2024,INTERNET_USERS,97.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,KNOWN,,,"Internet users as percentage of population"
tech24_deu_internet,DEU,2024,INTERNET_USERS,93.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"Internet users as percentage of population"
tech24_jpn_internet,JPN,2024,INTERNET_USERS,93.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"Internet users as percentage of population"
tech24_ind_internet,IND,2024,INTERNET_USERS,47.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"Internet users as percentage of population; significant urban-rural divide"
tech24_bra_internet,BRA,2024,INTERNET_USERS,81.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"Internet users as percentage of population"
tech24_chn_internet,CHN,2024,INTERNET_USERS,76.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"Internet users as percentage of population"
tech24_usa_mobile,USA,2024,MOBILE_SUBSCRIPTIONS,120.5,,subscriptions_per_100,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,HIGH,UNKNOWN,,,"Mobile cellular subscriptions per 100 people; multiple devices per person"
tech24_jpn_mobile,JPN,2024,MOBILE_SUBSCRIPTIONS,150.0,,subscriptions_per_100,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Mobile cellular subscriptions per 100 people; high mobile penetration"
tech24_usa_digital,USA,2024,DIGITAL_PAYMENT_USAGE,85.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Digital payment usage; credit/debit card and mobile payment adoption"
tech24_deu_digital,DEU,2024,DIGITAL_PAYMENT_USAGE,82.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Digital payment usage; strong banking infrastructure supports digital payments"
tech24_jpn_digital,JPN,2024,DIGITAL_PAYMENT_USAGE,78.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Digital payment usage; Japan slower to adopt digital payments"
tech24_ind_digital,IND,2024,DIGITAL_PAYMENT_USAGE,35.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Digital payment usage; India rapidly grew digital payments through UPI system"
tech24_bra_digital,BRA,2024,DIGITAL_PAYMENT_USAGE,55.0,,percent,technology,innovation,compiled_estimate,OWID_WB_TECHNOLOGY_2024,MEDIUM,PARTIALLY_KNOWN,,,"Digital payment usage; Brazil has growing fintech sector"
