observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
agri24_chn_food_imp,CHN,2024,FOOD_IMPORT_SHARE,8.0,,percent,agriculture,food,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Food import share; China largely self-sufficient but imports soybeans"
agri24_usa_fert,USA,2024,FERTILITY_RATE,1.66,,per_1000,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,HIGH,UNKNOWN,,,"Total fertility rate; below replacement level of 2.1"
agri24_deu_fert,DEU,2024,FERTILITY_RATE,1.46,,per_1000,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,HIGH,UNKNOWN,,,"Total fertility rate; below replacement level"
agri24_jpn_fert,JPN,2024,FERTILITY_RATE,1.20,,per_1000,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,HIGH,UNKNOWN,,,"Total fertility rate; one of lowest globally"
agri24_ind_fert,IND,2024,FERTILITY_RATE,2.03,,per_1000,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,HIGH,UNKNOWN,,,"Total fertility rate; approaching replacement level"
agri24_bra_fert,BRA,2024,FERTILITY_RATE,1.70,,per_1000,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,HIGH,UNKNOWN,,,"Total fertility rate; below replacement level"
agri24_chn_fert,CHN,2024,FERTILITY_RATE,1.09,,per_1000,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,HIGH,UNKNOWN,,,"Total fertility rate; very low following one-child policy"
agri24_usa_ageing,USA,2024,AGEING_INDEX,25.0,,ratio,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Old-age dependency ratio (65+ / 15-64); US has moderate ageing"
agri24_deu_ageing,DEU,2024,AGEING_INDEX,35.0,,ratio,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Old-age dependency ratio; Germany significant ageing challenge"
agri24_jpn_ageing,JPN,2024,AGEING_INDEX,50.0,,ratio,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Old-age dependency ratio; Japan most aged population globally"
agri24_ind_ageing,IND,2024,AGEING_INDEX,10.0,,ratio,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Old-age dependency ratio; India young population"
agri24_bra_ageing,BRA,2024,AGEING_INDEX,17.0,,ratio,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Old-age dependency ratio; Brazil undergoing demographic transition"
agri24_chn_ageing,CHN,2024,AGEING_INDEX,22.0,,ratio,population,primary,compiled_estimate,OWID_WB_AGRICULTURE_2024,MEDIUM,PARTIALLY_KNOWN,,,"Old-age dependency ratio; China rapid ageing"
